"","Willy","Karen","Kristina","Stefan","Niklas","Fiona","Finley","Zoe","Annika","Ian","Frank","William","Jana","Babsi","Collin","Patrizia","Valentine","Jennifer","Julius","Thomas","Kim","Tamara","Caroline","Dennis","Shae","Knut","Angelina","Victor","Fred","Nora","Carmen","Tashina","Tessa","Adrian","Constanze","Justin","Wilma","Irene","Anastasia","Sabrina","Jason","Jasmine","Dana","Amanda","Jalena","Marcel","Leandro","Justus","Hagen","Ralf","Shaana","Nhome","Azra"
"K",NA,"Buchstabenspiel, Schüttelwert, Anagramm, ein Wort umspielen",NA,NA,"Gefühl","Schrift als Kunstwerk, Symbolik","Wörter, die es nicht gibt","Grammatik","kommt alles aus dem Lexikon","Ein Satz, weil an Ende ein Punkt steht",NA,"Bild","falsch geschrieben",NA,"komisch geschrieben","Verben in ""Grundform""",NA,NA,"Wortwiederholung","Geschichte","Fragen","Wegweiser",NA,"große Texte","langweilig",NA,"Sprachen, Fremdsprache",NA,NA,"Veränderung, Abwandlung, Bedeutungsänderung","Grammatik","versteh ich nicht (als Kinderkategorie)",NA,NA,NA,NA,"kein Punkt","Schimpfwort-ABC - Bezeichnung mit jeweils gleichem Buchstaben",NA,NA,NA,NA,"Doppelpunkt",NA,NA,NA,"Sprichwort","neue Wörter, Wortneuschöpfungen","Wortwiederholungen","Doppel-m",NA,"Wortspiele","Dreieck"
"L",NA,"Gleichklang",NA,NA,NA,NA,"sehen nicht aus wie Texte","Wortveränderung","briefartig","Viereck, Dreieck usw.",NA,NA,"doppelter Wortgebrauch",NA,"Form","Artikel am Anfang des Textes (der, die, das)",NA,NA,"Aussprache","Fragen","wortwörtlich genommen","Wiederholungen",NA,NA,"Gestaltung (gefällt, spricht an)",NA,"Satzzeichen sind wichtig",NA,NA,"Essen",NA,"nur ein Wort",NA,"Texte mit Bild",NA,NA,"zwei Punkte übereinander (Doppelpunkt)","Wörter stehen auf dem Kopf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"immer wieder Wiederholungen eines Wortes",NA,"die Sprache stimmt nicht",NA,"versteht man nicht","Nicht möglich"
"M",NA,"zusammengeschriebene Hauptwörter, die getrennt wurden, zusammengesetzte Substantive",NA,NA,NA,NA,"alle haben Überschrift","versteh ich nicht","Spiel",NA,NA,NA,"Karte mit Bild",NA,NA,"Adjektive",NA,NA,NA,NA,"schwierige Texte","Gedicht",NA,NA,NA,NA,"kann man noch ergänzen",NA,NA,"keinen Sinn, nicht richtig",NA,"doof",NA,"Bild aus Text",NA,NA,"Ei","besondere Schriftart",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unverständlich",NA,NA,NA,"sinnlos","Größer geschrieben"
"N",NA,"Länder Stereotypen (verarschen)",NA,NA,NA,NA,"haben Grammatik drin","Sprichwort",NA,NA,NA,NA,"Verwechslung",NA,NA,NA,NA,NA,"Wörter, Buchstaben tauschen",NA,"zum Nachdenken anregen","Brief",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wörter groß und klein geschrieben",NA,"Bedeutungsverschiebung durch Satzzeichen",NA,NA,"zweiter Buchstabe ist i","Sprichtwort",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betonung",NA,"Gegenteil",NA,"Essen","Lebenwesen"
"O",NA,"Betonung",NA,NA,NA,NA,"fangen mit Artikel an und haben Punkte am Satzende","Wortspiel",NA,NA,NA,NA,"Untertitel",NA,NA,NA,NA,NA,"von rechts nach links lesen",NA,NA,"graphische Darstellung",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Worte stehen auf dem Kopf",NA,"Bedeutungsverschiebung (unerwarteter Inhalt)",NA,NA,"verschiedene Schriften",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wer soll das verstehen?",NA,"klein und groß","Verkehrt herum"
"P",NA,"Umkehrung",NA,NA,NA,NA,NA,"fehlende Buchstaben",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wiederholungen des Satzanfangs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"klein geschrieben (auch Substantive)",NA,"Leserichtung",NA,NA,"in anderer Sprache",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"macht Kinder traurig",NA,"Personalpronomen","Tiere"
"Q",NA,NA,NA,NA,NA,NA,NA,"Bilder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Verschiedene Formen aus einem Wort",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ausgedachte Sprache",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wörter wurden zusammengesetzt",NA,"veränderte Bedeutung der Satzzeichen","Immer wieder dasselbe"
"R",NA,NA,NA,NA,NA,NA,NA,"Liebe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Darstellung des Textes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"das geht doch gar nicht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sprachen","Essen"
"S",NA,NA,NA,NA,NA,NA,NA,"niedliche Texte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wortzusammensetzungen",NA
"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
